ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (July 2025)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).

Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
2025-07-26,01,3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,3,3,4
,02,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3
,03,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3
,04,3,2,3,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3
,05,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3
,06,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,3,3,3
,07,3,2,3,3,4,3,3,2,2,3,3,3,2,2,2,3,3,4
,08,3,2,3,3,3,3,3,2,2,3,3,3,2,3,2,3,3,4
,09,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4
,10,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4
,11,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
,12,4,5,4,5,5,4,4,4,5,5,5,4,5,5,4,5,4,5
,13,5,6,5,5,5,5,5,5,6,6,5,6,5,6,5,6,5,6
,14,5,6,6,6,6,6,6,6,8,7,6,7,7,8,7,7,6,7
,15,6,7,7,7,7,7,7,7,8,8,7,8,8,9,8,8,7,8
,16,7,8,8,8,8,7,8,8,9,9,7,8,9,9,8,8,8,8
,17,6,8,8,8,8,7,7,8,8,9,7,8,9,9,8,8,8,8
,18,6,7,7,8,7,6,6,7,8,8,6,8,8,9,8,7,7,8
,19,5,6,6,6,6,5,5,6,6,7,6,7,6,8,7,6,5,6
,20,4,5,5,5,5,5,5,5,5,6,5,6,5,7,7,5,5,5
,21,4,4,4,5,4,4,4,4,4,5,5,5,5,6,6,5,4,4
,22,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4
,23,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
,24,3,4,4,4,3,4,3,3,3,3,4,3,4,4,3,4,3,4
,Daily Max,7,8,8,8,8,7,8,8,9,9,7,8,9,9,8,8,8,8
2025-07-27,01,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,02,3,4,4,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3
,03,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,04,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,05,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,06,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,09,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,10,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,11,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3
,12,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4
,13,3,4,4,4,4,4,3,4,4,4,4,5*,4,5,4,4,4,4
,14,3,4,4,4,4,4,4,4,4,4,5,5*,5,5,5,4,4,4
,15,3,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5
,16,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4
,17,3,3,4,4,4,4,4,4,5,5,4,5,4,5,5,4,3,4
,18,3,3,3,4,3,3,3,4,5,4,4,4,4,5,5,4,3,3
,19,2,3,3,3,3,3,3,3,4,4,4,4,3,5,5,4,3,3
,20,2,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3
,21,2,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3
,22,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
,23,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
,24,2,3,2,3,2,2,2,2,2,3,3,2,3,3,3,3,3,3
,Daily Max,3,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5
2025-07-28,01,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,3
,02,2,2,2,2,2,2,2,2,3*,3,3,2,2,3,2,2,2,2
,03,2,2,2,2,2,2,2,2,3*,3,3,2*,2,3,2,2,2,2
,04,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,10,2,2,3,3,2,3,2,2,2,3,3,3,2,3,2,3,3,3
,11,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,12,3,3*,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4
,13,3,4*,4,4,4,4,4,4,4,4,4,4,4,4,3,4*,4,4
,14,4,4*,4,4,4,4,4,4,4,4,5,4,4,5,4,5*,4,5
,15,4,4*,5,5,5,4,4,5,5,5,5,5,5,6,4,5,4,5
,16,4,5*,5,5,5,5,5,6*,5,5,6,6*,5,6,5,5,4,5
,17,4,4,5,5,5,5,5,6*,6,5,5,6*,5,6,5,5,4,5
,18,4,4,5,5,4,4,4,5,5,5,5,6,5,6,5,4,4,5
,19,4,4,4,5,4,4,4,5,5,4,4,5,4,5,4,4,4,5
,20,4,4,4,4,4,4,4,4,4,4,3,5,4,5,3,4,4,4
,21,3,4,4,4,4,4,4,4,4,4,3,5,4,4,3,4,4,4
,22,3,3,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4
,23,3,3,4,4,4,4,3,4,3,4,3,3,3,4,3,4,4,4
,24,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,4
,Daily Max,4,5,5,5,5,5,5,6,6,5,6,6,5,6,5,5,4,5
2025-07-29,01,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4
,02,3,3,3,3,4,3,3,3,3,3,3,2,3,3,2,4,4,4
,03,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3
,04,2,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,3,3
,05,2,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,3,3
,06,2,4,3,3,3,3,2,3,2,3,3,2,3,2,2,3,3,3
,07,2,4,3,3,3,3,2,2,2,3,2,2,3,2,2,3,3,3
,08,2,5,3,3,3,3,2,3,2,3,2,2,2,3,2,3,3,3
,09,2,4,3,3,3,3,2,3,2,3,2,2,3,3,2,3,3,3
,10,2,3,3*,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3
,11,3,3,3*,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,12,3,3,3*,3,3,3,3,3,3,3*,3,3,3,3,3,3,3,3
,13,3,3,3*,3,3,3,3,3,3,3*,3*,3,3,3,3,3,3,3
,14,3,3,3*,3,3,3,3,3,3,3*,3*,3,3,3,3,3,3,3
,15,3,3,3,3,3,3,3,3,3,3*,3*,3,3,4,3,3,3,4
,16,3,3,3,3,3,3,3,3,3,3*,3*,3,3,4,3,4,3,4
,17,3,3,3,3,3,4,3,3,3,3*,3,3,3,4,4,4,4,4
,18,3,3,3,4,3,4,3,3,3,3*,3,3,3,3,4,4,4,4
,19,3,3,3,4,4,4,3,3,3,3*,3,3,3,3,3,4,4,4
,20,3,3,3,4,4,4,3,3,3,3*,3,3,3,3,3,4,4,4
,21,3,3,3,3,3,3,3,3,3,3*,3,2,3,3,2,4,4,4
,22,3,3,3,3,3,3,3,3,3,3*,3,2,3,3,2,4,3,4
,23,3,3,3,3,3,3,3,3,3,3*,3,2,3,3,2,3,3,3
,24,3,3,3,3,3,3,3,3,3,3*,3,2,3,3,2,3,3,3
,Daily Max,3,5,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4
2025-07-30,01,3,3,3,3,3,3,3,3,3,3*,3,2,3,3,2,3,3,3
,02,3,3,3,3,3,3,3,3,3,3*,3*,2,3,3,2,3,3,3
,03,3,3,3,3,3,3,3,3,3,3*,3*,2,3,3,2,3,4*,3
,04,3,3,3,3,3,3,3,3,2,3*,3,2,3,3,2,3,3,3
,05,3,3,3,3,3,3,3,3,2,3*,3,2,3,3,2,3,3,3
,06,2,3,3,3,3,3,3,3,2,3*,3,2,3,3,2,3,3,3
,07,2,3,3,3,3,3,3,3,2,3*,3,2,3,3,2,3,3,3
,08,2,3,3,3,3,3,3,3,2,3*,3,2,3,3,2,3,3,3
,09,2,3,3,3,3,3,3,3,2,3*,3,3,3,3,2,3,3,3
,10,3,3,3,3,3,3,3,3,2,3*,3,3,3,3,2,3,3,3
,11,3,3,3,3*,3,3,3,3,3,3*,3,3,3,3,3,4,3,4
,12,3*,3,3,3*,3,3,3,3,3,3*,3,3,3,3,3,4,4,4
,13,4*,4,4,4*,4,4,3,4,3,4*,4,3,3,3,3,4,4,4
,14,4*,4,4,4*,5,4,4,4,4,5*,4,4,4,4,4,5,4,5
,15,4*,4,4,4,5,4,4,4,4,5*,4,4,4,5,5,5,4,5
,16,3,4,4,4,4,4,4,4,5,5*,4,5,5,6,5,4,4,4
,17,3,3,4,4,4,4,4,4,5,4*,4,4,4,6,5,4,4,4
,18,3,3,4,4,4,4,3,4,4,4*,4,4,4,5,4,4,3,4
,19,3,3,4,4,3,3,3,4,4,4*,3,4,4,5,4,4,3,4
,20,3,3,4,4,3,3,3,3,3,3*,3,3,3,4,4,4,3,4
,21,3,3,4,3,3,3,3,3,3,3*,3,3,3,4,3,4,3,4
,22,3,3,4,3,3,3,3,3,3,3*,3,3,3,3,3,4,3,4
,23,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,3,4,3,3
,24,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,3,3,3,3
,Daily Max,4,4,4,4,5,4,4,4,5,5,4,5,5,6,5,5,4,5
2025-07-31,01,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,3,3,3,3
,02,2,3,3,3,3,3,2,3,2,3*,3,3,3,3,3,3,3,3
,03,2,3,3,3,2,3,2,3,2,3*,3,3,3,3,2,3,2,3
,04,2,3,3,2,2,2,2,3,2,3*,2,2,3,3,2,3,2,2
,05,2,3,3,2*,2,3*,2,2,2,3*,2,3,2*,3,2,3,2,3
,06,2,3,3,2*,3,2*,2,2,2,3*,2,3,3*,3,2,2,3,3
,07,2,2,3,2,3,2,2,2,2,3*,2,3,3,3,3,3,3,3
,08,2,2,3,3,3,2,2,2,2,3*,2,2,3,3,3,3,3,3
,09,2,2,2,2,3,3,2,2,2,2*,2,2,2,3,3,3,3,3
,10,2,3,2,3,3,3,2,2,2,2*,2,2,3,3,3,3,2,3
,11,3,3,3,3,3,3,2,3,2,3*,2,3,3,3,3,3,3,3
,12,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,3,3,3,3
,13,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,3,3,3,3
,14,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,3*,4,3,4
,15,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,4*,3,3,4
,16,3,3,3,3,3,3,3,3,3,4*,4,3,3,4,4,4,3,4
,17,3,3,3,3,4,3,3,3,3,4*,4,3,4,4,4,4,3,4
,18,3,3,3,3,4,4,3,3,3,4*,4,3,4,4,4,4,3,4
,19,3,3,3,3,4,4,3,3,3,4*,4,3,3,4,4,4,3,4
,20,3,3,3,3,3,3,3,3,3,3*,4,3,3,3,3,4,3,4
,21,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,3,3,3,4
,22,3,3,3,3,3,3,3,3,3,3*,3,3,3,3,2,3,3,3
,23,3,3,3,3,3,3,3,3,2,3*,3,3,3,3,2,3,3,3
,24,3,3,3,3,3,3,2,3,2,3*,3,3,3,3,2,3,3,3
,Daily Max,3,3,3,3,4,4,3,3,3,4,4,3,4,4,4,4,3,4
